E42Identifier_id	permalink	type	label_it	label_en
https://w3id.org/ficlitdl/giuseppe-raimondi-fonds/notebook/rdq15/shelfmark	https://w3id.org/ficlitdl/giuseppe-raimondi-fonds/notebook/rdq15/shelfmark	https://w3id.org/ficlitdl/shelfmark	Collocazione: FR.A QUADERNI.1 1954 16	Shelfmark: FR.A QUADERNI.1 1954 16
https://w3id.org/ficlitdl/giuseppe-raimondi-fonds/notebook/rdq9/inventory-number	https://w3id.org/ficlitdl/giuseppe-raimondi-fonds/notebook/rdq9/inventory-number	https://w3id.org/ficlitdl/inventory-number	Numero di inventario: RDq 9	Inventory number: RDq 9
https://w3id.org/ficlitdl/giuseppe-raimondi-fonds/notebook/rdq4/shelfmark	https://w3id.org/ficlitdl/giuseppe-raimondi-fonds/notebook/rdq4/shelfmark	https://w3id.org/ficlitdl/shelfmark	Collocazione: FR.A QUADERNI.1 1954 4	Shelfmark: FR.A QUADERNI.1 1954 4
https://w3id.org/ficlitdl/giuseppe-raimondi-fonds/notebook/rdq7/shelfmark	https://w3id.org/ficlitdl/giuseppe-raimondi-fonds/notebook/rdq7/shelfmark	https://w3id.org/ficlitdl/shelfmark	Collocazione: FR.A QUADERNI.1 1954 8	Shelfmark: FR.A QUADERNI.1 1954 8
https://w3id.org/ficlitdl/giuseppe-raimondi-fonds/notebook/rdq5/shelfmark	https://w3id.org/ficlitdl/giuseppe-raimondi-fonds/notebook/rdq5/shelfmark	https://w3id.org/ficlitdl/shelfmark	Collocazione: FR.A QUADERNI.1 1954 6	Shelfmark: FR.A QUADERNI.1 1954 6
https://w3id.org/ficlitdl/giuseppe-raimondi-fonds/notebook/rdq2/shelfmark	https://w3id.org/ficlitdl/giuseppe-raimondi-fonds/notebook/rdq2/shelfmark	https://w3id.org/ficlitdl/shelfmark	Collocazione: FR.A QUADERNI.1 1954 2	Shelfmark: FR.A QUADERNI.1 1954 2
https://w3id.org/ficlitdl/giuseppe-raimondi-fonds/notebook/rdq6/inventory-number	https://w3id.org/ficlitdl/giuseppe-raimondi-fonds/notebook/rdq6/inventory-number	https://w3id.org/ficlitdl/inventory-number	Numero di inventario: RDq 6	Inventory number: RDq 6
https://w3id.org/ficlitdl/giuseppe-raimondi-fonds/notebook/rdq8/shelfmark	https://w3id.org/ficlitdl/giuseppe-raimondi-fonds/notebook/rdq8/shelfmark	https://w3id.org/ficlitdl/shelfmark	Collocazione: FR.A QUADERNI.1 1954 9	Shelfmark: FR.A QUADERNI.1 1954 9
https://w3id.org/ficlitdl/giuseppe-raimondi-fonds/notebook/rdq11/inventory-number	https://w3id.org/ficlitdl/giuseppe-raimondi-fonds/notebook/rdq11/inventory-number	https://w3id.org/ficlitdl/inventory-number	Numero di inventario: RDq 11	Inventory number: RDq 11
https://w3id.org/ficlitdl/giuseppe-raimondi-fonds/notebook/rdq5/inventory-number	https://w3id.org/ficlitdl/giuseppe-raimondi-fonds/notebook/rdq5/inventory-number	https://w3id.org/ficlitdl/inventory-number	Numero di inventario: RDq 5	Inventory number: RDq 5
