E54Dimension_id	permalink	label_it	label_en	close_match	related_match
https://w3id.org/ficlitdl/giuseppe-raimondi-fonds/notebook/rdq14/height/22cm	https://w3id.org/ficlitdl/giuseppe-raimondi-fonds/notebook/rdq14/height/22cm	Altezza del quaderno: 22 cm	Notebook height: 22 cm	http://vocab.getty.edu/aat/300055644	
https://w3id.org/ficlitdl/giuseppe-raimondi-fonds/notebook/rdq5/height/21cm	https://w3id.org/ficlitdl/giuseppe-raimondi-fonds/notebook/rdq5/height/21cm	Altezza del quaderno: 21 cm	Notebook height: 21 cm	http://vocab.getty.edu/aat/300055644	
https://w3id.org/ficlitdl/giuseppe-raimondi-fonds/notebook/rdq3/extent/16c	https://w3id.org/ficlitdl/giuseppe-raimondi-fonds/notebook/rdq3/extent/16c	Numero totale di carte (inclusi gli oggetti conservati fra le pagine del quaderno): 16	Total number of sheets (including the items inserted between the pages of the notebook): 16		http://vocab.getty.edu/aat/300055645
https://w3id.org/ficlitdl/giuseppe-raimondi-fonds/notebook/rdq12/height/22cm	https://w3id.org/ficlitdl/giuseppe-raimondi-fonds/notebook/rdq12/height/22cm	Altezza del quaderno: 22 cm	Notebook height: 22 cm	http://vocab.getty.edu/aat/300055644	
https://w3id.org/ficlitdl/giuseppe-raimondi-fonds/notebook/rdq3/height/22cm	https://w3id.org/ficlitdl/giuseppe-raimondi-fonds/notebook/rdq3/height/22cm	Altezza del quaderno: 22 cm	Notebook height: 22 cm	http://vocab.getty.edu/aat/300055644	
https://w3id.org/ficlitdl/giuseppe-raimondi-fonds/notebook/rdq13/height/22cm	https://w3id.org/ficlitdl/giuseppe-raimondi-fonds/notebook/rdq13/height/22cm	Altezza del quaderno: 22 cm	Notebook height: 22 cm	http://vocab.getty.edu/aat/300055644	
https://w3id.org/ficlitdl/giuseppe-raimondi-fonds/notebook/rdq8/extent/10c	https://w3id.org/ficlitdl/giuseppe-raimondi-fonds/notebook/rdq8/extent/10c	Numero totale di carte (inclusi gli oggetti conservati fra le pagine del quaderno): 10	Total number of sheets (including the items inserted between the pages of the notebook): 10		http://vocab.getty.edu/aat/300055645
https://w3id.org/ficlitdl/giuseppe-raimondi-fonds/notebook/rdq1/extent/26c	https://w3id.org/ficlitdl/giuseppe-raimondi-fonds/notebook/rdq1/extent/26c	Numero totale di carte (inclusi gli oggetti conservati fra le pagine del quaderno): 26	Total number of sheets (including the items inserted between the pages of the notebook): 26		http://vocab.getty.edu/aat/300055645
https://w3id.org/ficlitdl/giuseppe-raimondi-fonds/notebook/rdq6/height/22cm	https://w3id.org/ficlitdl/giuseppe-raimondi-fonds/notebook/rdq6/height/22cm	Altezza del quaderno: 22 cm	Notebook height: 22 cm	http://vocab.getty.edu/aat/300055644	
https://w3id.org/ficlitdl/giuseppe-raimondi-fonds/notebook/rdq15/height/22cm	https://w3id.org/ficlitdl/giuseppe-raimondi-fonds/notebook/rdq15/height/22cm	Altezza del quaderno: 22 cm	Notebook height: 22 cm	http://vocab.getty.edu/aat/300055644	
https://w3id.org/ficlitdl/giuseppe-raimondi-fonds/notebook/rdq11/extent/10c	https://w3id.org/ficlitdl/giuseppe-raimondi-fonds/notebook/rdq11/extent/10c	Numero totale di carte (inclusi gli oggetti conservati fra le pagine del quaderno): 10	Total number of sheets (including the items inserted between the pages of the notebook): 10		http://vocab.getty.edu/aat/300055645
https://w3id.org/ficlitdl/giuseppe-raimondi-fonds/notebook/rdq8/height/21cm	https://w3id.org/ficlitdl/giuseppe-raimondi-fonds/notebook/rdq8/height/21cm	Altezza del quaderno: 21 cm	Notebook height: 21 cm	http://vocab.getty.edu/aat/300055644	
https://w3id.org/ficlitdl/giuseppe-raimondi-fonds/notebook/rdq1/height/22cm	https://w3id.org/ficlitdl/giuseppe-raimondi-fonds/notebook/rdq1/height/22cm	Altezza del quaderno: 22 cm	Notebook height: 22 cm	http://vocab.getty.edu/aat/300055644	
https://w3id.org/ficlitdl/giuseppe-raimondi-fonds/notebook/rdq15/extent/10c	https://w3id.org/ficlitdl/giuseppe-raimondi-fonds/notebook/rdq15/extent/10c	Numero totale di carte (inclusi gli oggetti conservati fra le pagine del quaderno): 10	Total number of sheets (including the items inserted between the pages of the notebook): 10		http://vocab.getty.edu/aat/300055645
https://w3id.org/ficlitdl/giuseppe-raimondi-fonds/notebook/rdq12/extent/12c	https://w3id.org/ficlitdl/giuseppe-raimondi-fonds/notebook/rdq12/extent/12c	Numero totale di carte (inclusi gli oggetti conservati fra le pagine del quaderno): 12	Total number of sheets (including the items inserted between the pages of the notebook): 12		http://vocab.getty.edu/aat/300055645
https://w3id.org/ficlitdl/giuseppe-raimondi-fonds/notebook/rdq10/extent/10c	https://w3id.org/ficlitdl/giuseppe-raimondi-fonds/notebook/rdq10/extent/10c	Numero totale di carte (inclusi gli oggetti conservati fra le pagine del quaderno): 10	Total number of sheets (including the items inserted between the pages of the notebook): 10		http://vocab.getty.edu/aat/300055645
https://w3id.org/ficlitdl/giuseppe-raimondi-fonds/notebook/rdq5/extent/10c	https://w3id.org/ficlitdl/giuseppe-raimondi-fonds/notebook/rdq5/extent/10c	Numero totale di carte (inclusi gli oggetti conservati fra le pagine del quaderno): 10	Total number of sheets (including the items inserted between the pages of the notebook): 10		http://vocab.getty.edu/aat/300055645
https://w3id.org/ficlitdl/giuseppe-raimondi-fonds/notebook/rdq6/extent/20c	https://w3id.org/ficlitdl/giuseppe-raimondi-fonds/notebook/rdq6/extent/20c	Numero totale di carte (inclusi gli oggetti conservati fra le pagine del quaderno): 20	Total number of sheets (including the items inserted between the pages of the notebook): 20		http://vocab.getty.edu/aat/300055645
https://w3id.org/ficlitdl/giuseppe-raimondi-fonds/notebook/rdq13/extent/13c	https://w3id.org/ficlitdl/giuseppe-raimondi-fonds/notebook/rdq13/extent/13c	Numero totale di carte (inclusi gli oggetti conservati fra le pagine del quaderno): 13	Total number of sheets (including the items inserted between the pages of the notebook): 13		http://vocab.getty.edu/aat/300055645
https://w3id.org/ficlitdl/giuseppe-raimondi-fonds/notebook/rdq7/extent/10c	https://w3id.org/ficlitdl/giuseppe-raimondi-fonds/notebook/rdq7/extent/10c	Numero totale di carte (inclusi gli oggetti conservati fra le pagine del quaderno): 10	Total number of sheets (including the items inserted between the pages of the notebook): 10		http://vocab.getty.edu/aat/300055645
https://w3id.org/ficlitdl/giuseppe-raimondi-fonds/notebook/rdq10/height/21cm	https://w3id.org/ficlitdl/giuseppe-raimondi-fonds/notebook/rdq10/height/21cm	Altezza del quaderno: 21 cm	Notebook height: 21 cm	http://vocab.getty.edu/aat/300055644	
https://w3id.org/ficlitdl/giuseppe-raimondi-fonds/notebook/rdq4/height/21cm	https://w3id.org/ficlitdl/giuseppe-raimondi-fonds/notebook/rdq4/height/21cm	Altezza del quaderno: 21 cm	Notebook height: 21 cm	http://vocab.getty.edu/aat/300055644	
https://w3id.org/ficlitdl/giuseppe-raimondi-fonds/notebook/rdq2/height/22cm	https://w3id.org/ficlitdl/giuseppe-raimondi-fonds/notebook/rdq2/height/22cm	Altezza del quaderno: 22 cm	Notebook height: 22 cm	http://vocab.getty.edu/aat/300055644	
https://w3id.org/ficlitdl/giuseppe-raimondi-fonds/notebook/rdq11/height/22cm	https://w3id.org/ficlitdl/giuseppe-raimondi-fonds/notebook/rdq11/height/22cm	Altezza del quaderno: 22 cm	Notebook height: 22 cm	http://vocab.getty.edu/aat/300055644	
https://w3id.org/ficlitdl/giuseppe-raimondi-fonds/notebook/rdq14/extent/10c	https://w3id.org/ficlitdl/giuseppe-raimondi-fonds/notebook/rdq14/extent/10c	Numero totale di carte (inclusi gli oggetti conservati fra le pagine del quaderno): 10	Total number of sheets (including the items inserted between the pages of the notebook): 10		http://vocab.getty.edu/aat/300055645
https://w3id.org/ficlitdl/giuseppe-raimondi-fonds/notebook/rdq9/extent/10c	https://w3id.org/ficlitdl/giuseppe-raimondi-fonds/notebook/rdq9/extent/10c	Numero totale di carte (inclusi gli oggetti conservati fra le pagine del quaderno): 10	Total number of sheets (including the items inserted between the pages of the notebook): 10		http://vocab.getty.edu/aat/300055645
https://w3id.org/ficlitdl/giuseppe-raimondi-fonds/notebook/rdq7/height/21cm	https://w3id.org/ficlitdl/giuseppe-raimondi-fonds/notebook/rdq7/height/21cm	Altezza del quaderno: 21 cm	Notebook height: 21 cm	http://vocab.getty.edu/aat/300055644	
https://w3id.org/ficlitdl/giuseppe-raimondi-fonds/notebook/rdq9/height/22cm	https://w3id.org/ficlitdl/giuseppe-raimondi-fonds/notebook/rdq9/height/22cm	Altezza del quaderno: 22 cm	Notebook height: 22 cm	http://vocab.getty.edu/aat/300055644	
https://w3id.org/ficlitdl/giuseppe-raimondi-fonds/notebook/rdq4/extent/10c	https://w3id.org/ficlitdl/giuseppe-raimondi-fonds/notebook/rdq4/extent/10c	Numero totale di carte (inclusi gli oggetti conservati fra le pagine del quaderno): 10	Total number of sheets (including the items inserted between the pages of the notebook): 10		http://vocab.getty.edu/aat/300055645
https://w3id.org/ficlitdl/giuseppe-raimondi-fonds/notebook/rdq2/extent/22c	https://w3id.org/ficlitdl/giuseppe-raimondi-fonds/notebook/rdq2/extent/22c	Numero totale di carte (inclusi gli oggetti conservati fra le pagine del quaderno): 22	Total number of sheets (including the items inserted between the pages of the notebook): 22		http://vocab.getty.edu/aat/300055645
