E19PhysicalObject_id	permalink	type	label_it	label_en	dimension	archival_note	expression	inventory_number	shelfmark	archival_unit	preceding_item	following_item	keeper	owner	location	right	biblCitation	item
https://w3id.org/ficlitdl/giuseppe-raimondi-fonds/a/notebooks/1/1955/rdq27/object	https://w3id.org/ficlitdl/giuseppe-raimondi-fonds/a/notebooks/1/1955/rdq27/object	https://w3id.org/ficlitdl/archival-unit/file ;; https://w3id.org/ficlitdl/documentary-form-type/notebook	"Raimondi, Giuseppe. Quaderno manoscritto, ""Valigia delle Indie. Settembre 1955"""	"Raimondi, Giuseppe. Manuscript notebook, ""Valigia delle Indie. Settembre 1955"""	https://w3id.org/ficlitdl/extent/11p ;; https://w3id.org/ficlitdl/height/21cm ;; https://w3id.org/ficlitdl/extent/9c	"Valigia delle Indie. Settembre 1955 / [Giuseppe Raimondi]. - 1955. - 1 quaderno (11 p. ms., di cui 5 numerate 2-6, su 9 c.) ; 21 cm. ((Ms. - Vi e inserito foglio ms. ""Umberto Saba"" (1 c.)."	https://w3id.org/ficlitdl/giuseppe-raimondi-fonds/a/notebooks/1/1955/rdq27/text	https://w3id.org/ficlitdl/giuseppe-raimondi-fonds/a/notebooks/1/1955/rdq27/inventory-number	https://w3id.org/ficlitdl/giuseppe-raimondi-fonds/a/notebooks/1/1955/rdq27/shelfmark	https://w3id.org/ficlitdl/giuseppe-raimondi-fonds/a/notebooks/1/1955/object	https://w3id.org/ficlitdl/giuseppe-raimondi-fonds/a/notebooks/1/rdq26/object	https://w3id.org/ficlitdl/giuseppe-raimondi-fonds/a/notebooks/1/rdq28/object	https://w3id.org/ficlitdl/organization/alma-mater-studiorum-university-of-bologna	https://w3id.org/ficlitdl/organization/istituto-per-i-beni-artistici-culturali-e-naturali	https://w3id.org/ficlitdl/place/biblioteca-ezio-raimondi	https://w3id.org/ficlitdl/right/all-rights-reserved	"Raimondi, Giuseppe. 1955. Quaderno manoscritto. Fondo Giuseppe Raimondi, Biblioteca Ezio Raimondi, Università di Bologna. RDq 27, FR.A QUADERNI.1 1955 12."	
https://w3id.org/ficlitdl/giuseppe-raimondi-fonds/a/notebooks/1/1958/rdq77/object	https://w3id.org/ficlitdl/giuseppe-raimondi-fonds/a/notebooks/1/1958/rdq77/object	https://w3id.org/ficlitdl/archival-unit/file ;; https://w3id.org/ficlitdl/documentary-form-type/notebook	"Raimondi, Giuseppe. Quaderno manoscritto, ""La festa di San Giuseppe : (Bepo) ; Georges Seurat in laguna. 19.3.1958"""	"Raimondi, Giuseppe. Manuscript notebook, ""La festa di San Giuseppe : (Bepo) ; Georges Seurat in laguna. 19.3.1958"""	https://w3id.org/ficlitdl/height/22cm ;; https://w3id.org/ficlitdl/extent/14p ;; https://w3id.org/ficlitdl/extent/10c	"La festa di San Giuseppe : (Bepo) ; Georges Seurat in laguna. 19.3.1958 / [Giuseppe Raimondi]. - 1958. - 1 quaderno (14 p. ms. , di cui alcune numerate irregolarmente, su 10 c.) ; 22 cm. ((A c. [3v]: 21 marzo '58, primo giorno di primavera; a c. [7v]: 3.4.1958. - Ms."	https://w3id.org/ficlitdl/giuseppe-raimondi-fonds/a/notebooks/1/1958/rdq77/text	https://w3id.org/ficlitdl/giuseppe-raimondi-fonds/a/notebooks/1/1958/rdq77/inventory-number	https://w3id.org/ficlitdl/giuseppe-raimondi-fonds/a/notebooks/1/1958/rdq77/shelfmark	https://w3id.org/ficlitdl/giuseppe-raimondi-fonds/a/notebooks/1/1958/object	https://w3id.org/ficlitdl/giuseppe-raimondi-fonds/a/notebooks/1/rdq76/object	https://w3id.org/ficlitdl/giuseppe-raimondi-fonds/a/notebooks/1/rdq78/object	https://w3id.org/ficlitdl/organization/alma-mater-studiorum-university-of-bologna	https://w3id.org/ficlitdl/organization/istituto-per-i-beni-artistici-culturali-e-naturali	https://w3id.org/ficlitdl/place/biblioteca-ezio-raimondi	https://w3id.org/ficlitdl/right/all-rights-reserved	"Raimondi, Giuseppe. 1958. Quaderno manoscritto. Fondo Giuseppe Raimondi, Biblioteca Ezio Raimondi, Università di Bologna. RDq 77, FR.A QUADERNI.1 1958 8."	
https://w3id.org/ficlitdl/giuseppe-raimondi-fonds/a/notebooks/1/1968/rdq245/object	https://w3id.org/ficlitdl/giuseppe-raimondi-fonds/a/notebooks/1/1968/rdq245/object	https://w3id.org/ficlitdl/archival-unit/file ;; https://w3id.org/ficlitdl/documentary-form-type/notebook	"Raimondi, Giuseppe. Quaderno manoscritto, ""L'ospizio"""	"Raimondi, Giuseppe. Manuscript notebook, ""L'ospizio"""	https://w3id.org/ficlitdl/extent/7p ;; https://w3id.org/ficlitdl/height/22cm ;; https://w3id.org/ficlitdl/extent/10c	"L'ospizio / [Giuseppe Raimondi]. - 1968. - 2 quaderni (7 p. ms. su 10 c. non numerate ; 9 p. ms. su 10 c. di cui 7 numerate 2-8) ; 22 cm. ((In cop. sul 1. quaderno anche: 20.5.968; in cop. sul 2. quaderno anche: racconto, 20-27 maggio 1968. - Ms."	https://w3id.org/ficlitdl/giuseppe-raimondi-fonds/a/notebooks/1/1968/rdq245/text	https://w3id.org/ficlitdl/giuseppe-raimondi-fonds/a/notebooks/1/1968/rdq245/inventory-number	https://w3id.org/ficlitdl/giuseppe-raimondi-fonds/a/notebooks/1/1968/rdq245/shelfmark	https://w3id.org/ficlitdl/giuseppe-raimondi-fonds/a/notebooks/1/1968/object	https://w3id.org/ficlitdl/giuseppe-raimondi-fonds/a/notebooks/1/rdq244/object	https://w3id.org/ficlitdl/giuseppe-raimondi-fonds/a/notebooks/1/rdq246/object	https://w3id.org/ficlitdl/organization/alma-mater-studiorum-university-of-bologna	https://w3id.org/ficlitdl/organization/istituto-per-i-beni-artistici-culturali-e-naturali	https://w3id.org/ficlitdl/place/biblioteca-ezio-raimondi	https://w3id.org/ficlitdl/right/all-rights-reserved	"Raimondi, Giuseppe. 1968. Quaderno manoscritto. Fondo Giuseppe Raimondi, Biblioteca Ezio Raimondi, Università di Bologna. RDq 245, FR.A QUADERNI.1 1968 9."	
https://w3id.org/ficlitdl/giuseppe-raimondi-fonds/a/notebooks/1/1957/rdq67/object	https://w3id.org/ficlitdl/giuseppe-raimondi-fonds/a/notebooks/1/1957/rdq67/object	https://w3id.org/ficlitdl/documentary-form-type/notebook ;; https://w3id.org/ficlitdl/archival-unit/file	"Raimondi, Giuseppe. Quaderno manoscritto, ""Valigia e altre cose"""	"Raimondi, Giuseppe. Manuscript notebook, ""Valigia e altre cose"""	https://w3id.org/ficlitdl/extent/14p ;; https://w3id.org/ficlitdl/height/22cm ;; https://w3id.org/ficlitdl/extent/12c	"Valigia e altre cose / [Giuseppe Raimondi]. - 1957. - 1 quaderno (14 p. ms., di cui 5 numerate 2-6, su 12 c.) ; 22 cm. ((In cop. anche: Blaise Cendras; Quadretti bolognesi; (Citta); 29.11.57. - Ms."	https://w3id.org/ficlitdl/giuseppe-raimondi-fonds/a/notebooks/1/1957/rdq67/text	https://w3id.org/ficlitdl/giuseppe-raimondi-fonds/a/notebooks/1/1957/rdq67/inventory-number	https://w3id.org/ficlitdl/giuseppe-raimondi-fonds/a/notebooks/1/1957/rdq67/shelfmark	https://w3id.org/ficlitdl/giuseppe-raimondi-fonds/a/notebooks/1/1957/object	https://w3id.org/ficlitdl/giuseppe-raimondi-fonds/a/notebooks/1/rdq66/object	https://w3id.org/ficlitdl/giuseppe-raimondi-fonds/a/notebooks/1/rdq68/object	https://w3id.org/ficlitdl/organization/alma-mater-studiorum-university-of-bologna	https://w3id.org/ficlitdl/organization/istituto-per-i-beni-artistici-culturali-e-naturali	https://w3id.org/ficlitdl/place/biblioteca-ezio-raimondi	https://w3id.org/ficlitdl/right/all-rights-reserved	"Raimondi, Giuseppe. 1957. Quaderno manoscritto. Fondo Giuseppe Raimondi, Biblioteca Ezio Raimondi, Università di Bologna. RDq 67, FR.A QUADERNI.1 1957 17."	
https://w3id.org/ficlitdl/giuseppe-raimondi-fonds/a/notebooks/1/1961/rdq133/object	https://w3id.org/ficlitdl/giuseppe-raimondi-fonds/a/notebooks/1/1961/rdq133/object	https://w3id.org/ficlitdl/documentary-form-type/notebook ;; https://w3id.org/ficlitdl/archival-unit/file	"Raimondi, Giuseppe. Quaderno manoscritto, ""Vecchio mantovano. 28.1.1961 ; Taccuinetto faentino di Dino Campana. 18.2.1961"""	"Raimondi, Giuseppe. Manuscript notebook, ""Vecchio mantovano. 28.1.1961 ; Taccuinetto faentino di Dino Campana. 18.2.1961"""	https://w3id.org/ficlitdl/extent/10c ;; https://w3id.org/ficlitdl/extent/10p ;; https://w3id.org/ficlitdl/height/21cm	"Vecchio mantovano. 28.1.1961 ; Taccuinetto faentino di Dino Campana. 18.2.1961 / [Giuseppe Raimondi]. - 1961. - 1 quaderno (10 p. ms., di cui alcune numerate irregolarmente, su 10 c.) ; 21 cm. ((Tit. a c. [1]: Il vecchio e il bambino. - Ms."	https://w3id.org/ficlitdl/giuseppe-raimondi-fonds/a/notebooks/1/1961/rdq133/text	https://w3id.org/ficlitdl/giuseppe-raimondi-fonds/a/notebooks/1/1961/rdq133/inventory-number	https://w3id.org/ficlitdl/giuseppe-raimondi-fonds/a/notebooks/1/1961/rdq133/shelfmark	https://w3id.org/ficlitdl/giuseppe-raimondi-fonds/a/notebooks/1/1961/object	https://w3id.org/ficlitdl/giuseppe-raimondi-fonds/a/notebooks/1/rdq132/object	https://w3id.org/ficlitdl/giuseppe-raimondi-fonds/a/notebooks/1/rdq134/object	https://w3id.org/ficlitdl/organization/alma-mater-studiorum-university-of-bologna	https://w3id.org/ficlitdl/organization/istituto-per-i-beni-artistici-culturali-e-naturali	https://w3id.org/ficlitdl/place/biblioteca-ezio-raimondi	https://w3id.org/ficlitdl/right/all-rights-reserved	"Raimondi, Giuseppe. 1961. Quaderno manoscritto. Fondo Giuseppe Raimondi, Biblioteca Ezio Raimondi, Università di Bologna. RDq 133, FR.A QUADERNI.1 1961 3."	
https://w3id.org/ficlitdl/giuseppe-raimondi-fonds/a/notebooks/1/1963/rdq183/object	https://w3id.org/ficlitdl/giuseppe-raimondi-fonds/a/notebooks/1/1963/rdq183/object	https://w3id.org/ficlitdl/documentary-form-type/notebook ;; https://w3id.org/ficlitdl/archival-unit/file	"Raimondi, Giuseppe. Quaderno manoscritto, ""La Romagna per il Touring Club. Dal 20 al 30 luglio 1963"""	"Raimondi, Giuseppe. Manuscript notebook, ""La Romagna per il Touring Club. Dal 20 al 30 luglio 1963"""	https://w3id.org/ficlitdl/extent/14p ;; https://w3id.org/ficlitdl/extent/10c ;; https://w3id.org/ficlitdl/height/22cm	La Romagna per il Touring Club. Dal 20 al 30 luglio 1963 / [Giuseppe Raimondi]. - 1963. - 1 quaderno (14 p. ms. numerate su 10 c.) ; 22 cm. ((A p. 14: 31.7.1963. - Ms.	https://w3id.org/ficlitdl/giuseppe-raimondi-fonds/a/notebooks/1/1963/rdq183/text	https://w3id.org/ficlitdl/giuseppe-raimondi-fonds/a/notebooks/1/1963/rdq183/inventory-number	https://w3id.org/ficlitdl/giuseppe-raimondi-fonds/a/notebooks/1/1963/rdq183/shelfmark	https://w3id.org/ficlitdl/giuseppe-raimondi-fonds/a/notebooks/1/1963/object	https://w3id.org/ficlitdl/giuseppe-raimondi-fonds/a/notebooks/1/rdq181/object	https://w3id.org/ficlitdl/giuseppe-raimondi-fonds/a/notebooks/1/rdq184/object	https://w3id.org/ficlitdl/organization/alma-mater-studiorum-university-of-bologna	https://w3id.org/ficlitdl/organization/istituto-per-i-beni-artistici-culturali-e-naturali	https://w3id.org/ficlitdl/place/biblioteca-ezio-raimondi	https://w3id.org/ficlitdl/right/all-rights-reserved	"Raimondi, Giuseppe. 1963. Quaderno manoscritto. Fondo Giuseppe Raimondi, Biblioteca Ezio Raimondi, Università di Bologna. RDq 183, FR.A QUADERNI.1 1963 14."	
https://w3id.org/ficlitdl/giuseppe-raimondi-fonds/a/notebooks/1/1957/rdq69/object	https://w3id.org/ficlitdl/giuseppe-raimondi-fonds/a/notebooks/1/1957/rdq69/object	https://w3id.org/ficlitdl/documentary-form-type/notebook ;; https://w3id.org/ficlitdl/archival-unit/file	"Raimondi, Giuseppe. Quaderno manoscritto, ""Varie. (Dicembre 1957)"""	"Raimondi, Giuseppe. Manuscript notebook, ""Varie. (Dicembre 1957)"""	https://w3id.org/ficlitdl/extent/11p ;; https://w3id.org/ficlitdl/height/22cm ;; https://w3id.org/ficlitdl/extent/10c	"Varie. (Dicembre 1957) / [Giuseppe Raimondi]. - 1957. - 1 quaderno (11 p. ms., alcune delle quali numerate irregolarmente, su 10 c.) ; 22 cm. ((In cop. anche: Il bue grasso, racconto; Pensiero di Capodanno (Valigia). - A p. [6]: 22.12.957; a p. [12]: 27.12.957. - Ms."	https://w3id.org/ficlitdl/giuseppe-raimondi-fonds/a/notebooks/1/1957/rdq69/text	https://w3id.org/ficlitdl/giuseppe-raimondi-fonds/a/notebooks/1/1957/rdq69/inventory-number	https://w3id.org/ficlitdl/giuseppe-raimondi-fonds/a/notebooks/1/1957/rdq69/shelfmark	https://w3id.org/ficlitdl/giuseppe-raimondi-fonds/a/notebooks/1/1957/object	https://w3id.org/ficlitdl/giuseppe-raimondi-fonds/a/notebooks/1/rdq68/object		https://w3id.org/ficlitdl/organization/alma-mater-studiorum-university-of-bologna	https://w3id.org/ficlitdl/organization/istituto-per-i-beni-artistici-culturali-e-naturali	https://w3id.org/ficlitdl/place/biblioteca-ezio-raimondi	https://w3id.org/ficlitdl/right/all-rights-reserved	"Raimondi, Giuseppe. 1957. Quaderno manoscritto. Fondo Giuseppe Raimondi, Biblioteca Ezio Raimondi, Università di Bologna. RDq 69, FR.A QUADERNI.1 1957 19."	
https://w3id.org/ficlitdl/giuseppe-raimondi-fonds/a/notebooks/1/1966/rdq217/object	https://w3id.org/ficlitdl/giuseppe-raimondi-fonds/a/notebooks/1/1966/rdq217/object	https://w3id.org/ficlitdl/documentary-form-type/notebook ;; https://w3id.org/ficlitdl/archival-unit/file	"Raimondi, Giuseppe. Quaderno manoscritto, ""Severino Ferrari"""	"Raimondi, Giuseppe. Manuscript notebook, ""Severino Ferrari"""	https://w3id.org/ficlitdl/extent/10p ;; https://w3id.org/ficlitdl/height/21cm ;; https://w3id.org/ficlitdl/extent/10c	"Severino Ferrari / [Giuseppe Raimondi]. - 1966. - 1 quaderno (10 p. ms., di cui 4 numerate 2-5, su 10 c.) ; 21 cm. ((In cop. anche: Conferenza Molinella 1966; Gennaio 1966. - Ms. - Vi e inserito foglio ds. numerato 11 (1 c.)."	https://w3id.org/ficlitdl/giuseppe-raimondi-fonds/a/notebooks/1/1966/rdq217/text	https://w3id.org/ficlitdl/giuseppe-raimondi-fonds/a/notebooks/1/1966/rdq217/inventory-number	https://w3id.org/ficlitdl/giuseppe-raimondi-fonds/a/notebooks/1/1966/rdq217/shelfmark	https://w3id.org/ficlitdl/giuseppe-raimondi-fonds/a/notebooks/1/1966/object	https://w3id.org/ficlitdl/giuseppe-raimondi-fonds/a/notebooks/1/rdq216/object	https://w3id.org/ficlitdl/giuseppe-raimondi-fonds/a/notebooks/1/rdq218/object	https://w3id.org/ficlitdl/organization/alma-mater-studiorum-university-of-bologna	https://w3id.org/ficlitdl/organization/istituto-per-i-beni-artistici-culturali-e-naturali	https://w3id.org/ficlitdl/place/biblioteca-ezio-raimondi	https://w3id.org/ficlitdl/right/all-rights-reserved	"Raimondi, Giuseppe. 1966. Quaderno manoscritto. Fondo Giuseppe Raimondi, Biblioteca Ezio Raimondi, Università di Bologna. RDq 217, FR.A QUADERNI.1 1966 2."	
https://w3id.org/ficlitdl/giuseppe-raimondi-fonds/a/notebooks/1/1971/rdq271/object	https://w3id.org/ficlitdl/giuseppe-raimondi-fonds/a/notebooks/1/1971/rdq271/object	https://w3id.org/ficlitdl/documentary-form-type/notebook ;; https://w3id.org/ficlitdl/archival-unit/file	"Raimondi, Giuseppe. Quaderno manoscritto, ""Preparativi per un collaudo : racconto. 4.3.1971 ; Storia di una cedola di carta gialla : racconto. Maggio 1971"""	"Raimondi, Giuseppe. Manuscript notebook, ""Preparativi per un collaudo : racconto. 4.3.1971 ; Storia di una cedola di carta gialla : racconto. Maggio 1971"""	https://w3id.org/ficlitdl/extent/11p ;; https://w3id.org/ficlitdl/extent/10c ;; https://w3id.org/ficlitdl/height/22cm	"Preparativi per un collaudo : racconto. 4.3.1971 ; Storia di una cedola di carta gialla : racconto. Maggio 1971 / [Giuseppe Raimondi]. - 1971. - 1 quaderno (11 p. ms. su 10 c. di cui 4 numerate 2-5) ; 22 cm. ((A c. 5: mercoledi, 3 marzo 1971. - Ms."	https://w3id.org/ficlitdl/giuseppe-raimondi-fonds/a/notebooks/1/1971/rdq271/text	https://w3id.org/ficlitdl/giuseppe-raimondi-fonds/a/notebooks/1/1971/rdq271/inventory-number	https://w3id.org/ficlitdl/giuseppe-raimondi-fonds/a/notebooks/1/1971/rdq271/shelfmark	https://w3id.org/ficlitdl/giuseppe-raimondi-fonds/a/notebooks/1/1971/object	https://w3id.org/ficlitdl/giuseppe-raimondi-fonds/a/notebooks/1/rdq270/object		https://w3id.org/ficlitdl/organization/alma-mater-studiorum-university-of-bologna	https://w3id.org/ficlitdl/organization/istituto-per-i-beni-artistici-culturali-e-naturali	https://w3id.org/ficlitdl/place/biblioteca-ezio-raimondi	https://w3id.org/ficlitdl/right/all-rights-reserved	"Raimondi, Giuseppe. 1971. Quaderno manoscritto. Fondo Giuseppe Raimondi, Biblioteca Ezio Raimondi, Università di Bologna. RDq 271, FR.A QUADERNI.1 1971 7."	
https://w3id.org/ficlitdl/giuseppe-raimondi-fonds/a/notebooks/1/1964/rdq195/object	https://w3id.org/ficlitdl/giuseppe-raimondi-fonds/a/notebooks/1/1964/rdq195/object	https://w3id.org/ficlitdl/documentary-form-type/notebook ;; https://w3id.org/ficlitdl/archival-unit/file	"Raimondi, Giuseppe. Quaderno manoscritto, ""La venexiana. 2.3.1964 ; Il Savoldo pittore bresciano. 9.3.964 ; L'oro di Pasqua. 25.3.964"""	"Raimondi, Giuseppe. Manuscript notebook, ""La venexiana. 2.3.1964 ; Il Savoldo pittore bresciano. 9.3.964 ; L'oro di Pasqua. 25.3.964"""	https://w3id.org/ficlitdl/extent/15p ;; https://w3id.org/ficlitdl/extent/10c ;; https://w3id.org/ficlitdl/height/22cm	"La venexiana. 2.3.1964 ; Il Savoldo pittore bresciano. 9.3.964 ; L'oro di Pasqua. 25.3.964 / [Giuseppe Raimondi]. - 1964. - 1 quaderno (15 p. ms., di cui alcune numerate irregolarmente, su 10 c.) ; 22 cm. ((Ms."	https://w3id.org/ficlitdl/giuseppe-raimondi-fonds/a/notebooks/1/1964/rdq195/text	https://w3id.org/ficlitdl/giuseppe-raimondi-fonds/a/notebooks/1/1964/rdq195/inventory-number	https://w3id.org/ficlitdl/giuseppe-raimondi-fonds/a/notebooks/1/1964/rdq195/shelfmark	https://w3id.org/ficlitdl/giuseppe-raimondi-fonds/a/notebooks/1/1964/object	https://w3id.org/ficlitdl/giuseppe-raimondi-fonds/a/notebooks/1/rdq194/object	https://w3id.org/ficlitdl/giuseppe-raimondi-fonds/a/notebooks/1/rdq196/object	https://w3id.org/ficlitdl/organization/alma-mater-studiorum-university-of-bologna	https://w3id.org/ficlitdl/organization/istituto-per-i-beni-artistici-culturali-e-naturali	https://w3id.org/ficlitdl/place/biblioteca-ezio-raimondi	https://w3id.org/ficlitdl/right/all-rights-reserved	"Raimondi, Giuseppe. 1964. Quaderno manoscritto. Fondo Giuseppe Raimondi, Biblioteca Ezio Raimondi, Università di Bologna. RDq 195, FR.A QUADERNI.1 1964 5."	
