F28ExpressionCreation_id	permalink	label_it	label_en	time_span	agent	production_technique	object	expression
https://w3id.org/ficlitdl/giuseppe-raimondi-fonds/a/notebooks/1/1975/rdq300/creation	https://w3id.org/ficlitdl/giuseppe-raimondi-fonds/a/notebooks/1/1975/rdq300/creation	"Raimondi, Giuseppe. Testo manoscritto, ""La favola di Narciso. 16/17.3.75 ; Prima di sera. 19.3.75"", creazione."	"Raimondi, Giuseppe. Testo manoscritto, ""La favola di Narciso. 16/17.3.75 ; Prima di sera. 19.3.75"", creation."	https://w3id.org/ficlitdl/time-span/1975	https://w3id.org/ficlitdl/person/giuseppe-raimondi	https://w3id.org/ficlitdl/technique-type/handwriting	https://w3id.org/ficlitdl/giuseppe-raimondi-fonds/a/notebooks/1/1975/rdq300/object	https://w3id.org/ficlitdl/giuseppe-raimondi-fonds/a/notebooks/1/1975/rdq300/text
https://w3id.org/ficlitdl/giuseppe-raimondi-fonds/a/notebooks/1/1968/rdq246/creation	https://w3id.org/ficlitdl/giuseppe-raimondi-fonds/a/notebooks/1/1968/rdq246/creation	"Raimondi, Giuseppe. Testo manoscritto, ""Un tramonto : racconto. 10.9.968 ; Il postiglione d'Europa : (Magalotti). 1.10.1968 ; La scultura francese del '700. 16.10.1968"", creazione."	"Raimondi, Giuseppe. Testo manoscritto, ""Un tramonto : racconto. 10.9.968 ; Il postiglione d'Europa : (Magalotti). 1.10.1968 ; La scultura francese del '700. 16.10.1968"", creation."	https://w3id.org/ficlitdl/time-span/1968	https://w3id.org/ficlitdl/person/giuseppe-raimondi	https://w3id.org/ficlitdl/technique-type/handwriting	https://w3id.org/ficlitdl/giuseppe-raimondi-fonds/a/notebooks/1/1968/rdq246/object	https://w3id.org/ficlitdl/giuseppe-raimondi-fonds/a/notebooks/1/1968/rdq246/text
https://w3id.org/ficlitdl/giuseppe-raimondi-fonds/a/notebooks/1/1958/rdq83/creation	https://w3id.org/ficlitdl/giuseppe-raimondi-fonds/a/notebooks/1/1958/rdq83/creation	"Raimondi, Giuseppe. Testo manoscritto, ""Il Barocci a via della Lungara ; Il panierone di Cuccoli. Luglio 1958"", creazione."	"Raimondi, Giuseppe. Testo manoscritto, ""Il Barocci a via della Lungara ; Il panierone di Cuccoli. Luglio 1958"", creation."	https://w3id.org/ficlitdl/time-span/1958	https://w3id.org/ficlitdl/person/giuseppe-raimondi	https://w3id.org/ficlitdl/technique-type/handwriting	https://w3id.org/ficlitdl/giuseppe-raimondi-fonds/a/notebooks/1/1958/rdq83/object	https://w3id.org/ficlitdl/giuseppe-raimondi-fonds/a/notebooks/1/1958/rdq83/text
https://w3id.org/ficlitdl/giuseppe-raimondi-fonds/a/notebooks/1/1973/rdq289/creation	https://w3id.org/ficlitdl/giuseppe-raimondi-fonds/a/notebooks/1/1973/rdq289/creation	"Raimondi, Giuseppe. Testo manoscritto, ""Incontri bolognesi con Dino Campana"", creazione."	"Raimondi, Giuseppe. Testo manoscritto, ""Incontri bolognesi con Dino Campana"", creation."	https://w3id.org/ficlitdl/time-span/1973	https://w3id.org/ficlitdl/person/giuseppe-raimondi	https://w3id.org/ficlitdl/technique-type/handwriting	https://w3id.org/ficlitdl/giuseppe-raimondi-fonds/a/notebooks/1/1973/rdq289/object	https://w3id.org/ficlitdl/giuseppe-raimondi-fonds/a/notebooks/1/1973/rdq289/text
https://w3id.org/ficlitdl/giuseppe-raimondi-fonds/a/notebooks/1/1972/rdq277/creation	https://w3id.org/ficlitdl/giuseppe-raimondi-fonds/a/notebooks/1/1972/rdq277/creation	"Raimondi, Giuseppe. Testo manoscritto, ""La Negresse di Rembrandt. 5.6.72 ; Il sacrificio di Isacco. 3.8.72"", creazione."	"Raimondi, Giuseppe. Testo manoscritto, ""La Negresse di Rembrandt. 5.6.72 ; Il sacrificio di Isacco. 3.8.72"", creation."	https://w3id.org/ficlitdl/time-span/1972	https://w3id.org/ficlitdl/person/giuseppe-raimondi	https://w3id.org/ficlitdl/technique-type/handwriting	https://w3id.org/ficlitdl/giuseppe-raimondi-fonds/a/notebooks/1/1972/rdq277/object	https://w3id.org/ficlitdl/giuseppe-raimondi-fonds/a/notebooks/1/1972/rdq277/text
https://w3id.org/ficlitdl/giuseppe-raimondi-fonds/a/notebooks/1/1962/rdq154/creation	https://w3id.org/ficlitdl/giuseppe-raimondi-fonds/a/notebooks/1/1962/rdq154/creation	"Raimondi, Giuseppe. Testo manoscritto, ""La rondine di Banquo. 6.2.1962 ; Oskar Kokoschka. 12.2.1962"", creazione."	"Raimondi, Giuseppe. Testo manoscritto, ""La rondine di Banquo. 6.2.1962 ; Oskar Kokoschka. 12.2.1962"", creation."	https://w3id.org/ficlitdl/time-span/1962	https://w3id.org/ficlitdl/person/giuseppe-raimondi	https://w3id.org/ficlitdl/technique-type/handwriting	https://w3id.org/ficlitdl/giuseppe-raimondi-fonds/a/notebooks/1/1962/rdq154/object	https://w3id.org/ficlitdl/giuseppe-raimondi-fonds/a/notebooks/1/1962/rdq154/text
https://w3id.org/ficlitdl/giuseppe-raimondi-fonds/a/notebooks/1/1965/rdq205/creation	https://w3id.org/ficlitdl/giuseppe-raimondi-fonds/a/notebooks/1/1965/rdq205/creation	"Raimondi, Giuseppe. Testo manoscritto, ""Aurora e Frammenti di Nietzsche. 28.4.965 ; Paesaggi di Versilia. 18.5.965"", creazione."	"Raimondi, Giuseppe. Testo manoscritto, ""Aurora e Frammenti di Nietzsche. 28.4.965 ; Paesaggi di Versilia. 18.5.965"", creation."	https://w3id.org/ficlitdl/time-span/1965	https://w3id.org/ficlitdl/person/giuseppe-raimondi	https://w3id.org/ficlitdl/technique-type/handwriting	https://w3id.org/ficlitdl/giuseppe-raimondi-fonds/a/notebooks/1/1965/rdq205/object	https://w3id.org/ficlitdl/giuseppe-raimondi-fonds/a/notebooks/1/1965/rdq205/text
https://w3id.org/ficlitdl/giuseppe-raimondi-fonds/a/notebooks/1/1958/rdq89/creation	https://w3id.org/ficlitdl/giuseppe-raimondi-fonds/a/notebooks/1/1958/rdq89/creation	"Raimondi, Giuseppe. Testo manoscritto, ""Il fantasma di Dada. 14 novembre 1958 ; Fine di settembre a Zurigo. 21.11.58"", creazione."	"Raimondi, Giuseppe. Testo manoscritto, ""Il fantasma di Dada. 14 novembre 1958 ; Fine di settembre a Zurigo. 21.11.58"", creation."	https://w3id.org/ficlitdl/time-span/1958	https://w3id.org/ficlitdl/person/giuseppe-raimondi	https://w3id.org/ficlitdl/technique-type/handwriting	https://w3id.org/ficlitdl/giuseppe-raimondi-fonds/a/notebooks/1/1958/rdq89/object	https://w3id.org/ficlitdl/giuseppe-raimondi-fonds/a/notebooks/1/1958/rdq89/text
https://w3id.org/ficlitdl/giuseppe-raimondi-fonds/a/notebooks/1/1966/rdq217/creation	https://w3id.org/ficlitdl/giuseppe-raimondi-fonds/a/notebooks/1/1966/rdq217/creation	"Raimondi, Giuseppe. Testo manoscritto, ""Severino Ferrari"", creazione."	"Raimondi, Giuseppe. Testo manoscritto, ""Severino Ferrari"", creation."	https://w3id.org/ficlitdl/time-span/1966	https://w3id.org/ficlitdl/person/giuseppe-raimondi	https://w3id.org/ficlitdl/technique-type/handwriting	https://w3id.org/ficlitdl/giuseppe-raimondi-fonds/a/notebooks/1/1966/rdq217/object	https://w3id.org/ficlitdl/giuseppe-raimondi-fonds/a/notebooks/1/1966/rdq217/text
https://w3id.org/ficlitdl/giuseppe-raimondi-fonds/a/notebooks/1/1965/rdq210/creation	https://w3id.org/ficlitdl/giuseppe-raimondi-fonds/a/notebooks/1/1965/rdq210/creation	"Raimondi, Giuseppe. Testo manoscritto, ""L'esame di coscienza di un letterato"", creazione."	"Raimondi, Giuseppe. Testo manoscritto, ""L'esame di coscienza di un letterato"", creation."	https://w3id.org/ficlitdl/time-span/1965	https://w3id.org/ficlitdl/person/giuseppe-raimondi	https://w3id.org/ficlitdl/technique-type/handwriting	https://w3id.org/ficlitdl/giuseppe-raimondi-fonds/a/notebooks/1/1965/rdq210/object	https://w3id.org/ficlitdl/giuseppe-raimondi-fonds/a/notebooks/1/1965/rdq210/text
