RoleInTime_id	permalink	label_it	label_en	related_expression	role
https://w3id.org/ficlitdl/giuseppe-raimondi-fonds/a/notebooks/1/1959/rdq98/author	https://w3id.org/ficlitdl/giuseppe-raimondi-fonds/a/notebooks/1/1959/rdq98/author	"Giuseppe Raimondi, autore del testo manoscritto ""Il tempo degli aeroplani ; Le Memorie di Casanova. (Marzo 1959)"""	"Giuseppe Raimondi, author of the manuscript text ""Il tempo degli aeroplani ; Le Memorie di Casanova. (Marzo 1959)"""	https://w3id.org/ficlitdl/giuseppe-raimondi-fonds/a/notebooks/1/1959/rdq98/text	http://purl.org/spar/pro/author
https://w3id.org/ficlitdl/giuseppe-raimondi-fonds/a/notebooks/1/1966/rdq217/author	https://w3id.org/ficlitdl/giuseppe-raimondi-fonds/a/notebooks/1/1966/rdq217/author	"Giuseppe Raimondi, autore del testo manoscritto ""Severino Ferrari"""	"Giuseppe Raimondi, author of the manuscript text ""Severino Ferrari"""	https://w3id.org/ficlitdl/giuseppe-raimondi-fonds/a/notebooks/1/1966/rdq217/text	http://purl.org/spar/pro/author
https://w3id.org/ficlitdl/giuseppe-raimondi-fonds/a/notebooks/1/1962/rdq157/author	https://w3id.org/ficlitdl/giuseppe-raimondi-fonds/a/notebooks/1/1962/rdq157/author	"Giuseppe Raimondi, autore del testo manoscritto ""Un momento della nostra vita. 2.3.1962 ; I grandi romantici inglesi. 13.3.962"""	"Giuseppe Raimondi, author of the manuscript text ""Un momento della nostra vita. 2.3.1962 ; I grandi romantici inglesi. 13.3.962"""	https://w3id.org/ficlitdl/giuseppe-raimondi-fonds/a/notebooks/1/1962/rdq157/text	http://purl.org/spar/pro/author
https://w3id.org/ficlitdl/giuseppe-raimondi-fonds/a/notebooks/1/1960/rdq115/author	https://w3id.org/ficlitdl/giuseppe-raimondi-fonds/a/notebooks/1/1960/rdq115/author	"Giuseppe Raimondi, autore del testo manoscritto ""Una notte di Baudelaire. (4.3.1960) ; Gente di pianura. (16.3.196) ; Una visita di Giotti"""	"Giuseppe Raimondi, author of the manuscript text ""Una notte di Baudelaire. (4.3.1960) ; Gente di pianura. (16.3.196) ; Una visita di Giotti"""	https://w3id.org/ficlitdl/giuseppe-raimondi-fonds/a/notebooks/1/1960/rdq115/text	http://purl.org/spar/pro/author
https://w3id.org/ficlitdl/giuseppe-raimondi-fonds/a/notebooks/1/1961/rdq136/author	https://w3id.org/ficlitdl/giuseppe-raimondi-fonds/a/notebooks/1/1961/rdq136/author	"Giuseppe Raimondi, autore del testo manoscritto ""Marcel Schwob ancora. 28.2.1961 ; Conversazione verso sera. 5.3.1961"""	"Giuseppe Raimondi, author of the manuscript text ""Marcel Schwob ancora. 28.2.1961 ; Conversazione verso sera. 5.3.1961"""	https://w3id.org/ficlitdl/giuseppe-raimondi-fonds/a/notebooks/1/1961/rdq136/text	http://purl.org/spar/pro/author
https://w3id.org/ficlitdl/giuseppe-raimondi-fonds/a/notebooks/1/1965/rdq203/author	https://w3id.org/ficlitdl/giuseppe-raimondi-fonds/a/notebooks/1/1965/rdq203/author	"Giuseppe Raimondi, autore del testo manoscritto ""Ritrattino di anarchico. 16.1.1965"""	"Giuseppe Raimondi, author of the manuscript text ""Ritrattino di anarchico. 16.1.1965"""	https://w3id.org/ficlitdl/giuseppe-raimondi-fonds/a/notebooks/1/1965/rdq203/text	http://purl.org/spar/pro/author
https://w3id.org/ficlitdl/giuseppe-raimondi-fonds/a/notebooks/1/1960/rdq116/author	https://w3id.org/ficlitdl/giuseppe-raimondi-fonds/a/notebooks/1/1960/rdq116/author	"Giuseppe Raimondi, autore del testo manoscritto ""Finisce la guerra. 24.3.960 ; Lettera ad Alberto Mondadori ; Le carnet de la Californie di Picasso. Aprile 1960"""	"Giuseppe Raimondi, author of the manuscript text ""Finisce la guerra. 24.3.960 ; Lettera ad Alberto Mondadori ; Le carnet de la Californie di Picasso. Aprile 1960"""	https://w3id.org/ficlitdl/giuseppe-raimondi-fonds/a/notebooks/1/1960/rdq116/text	http://purl.org/spar/pro/author
https://w3id.org/ficlitdl/giuseppe-raimondi-fonds/a/notebooks/1/1956/rdq44/author	https://w3id.org/ficlitdl/giuseppe-raimondi-fonds/a/notebooks/1/1956/rdq44/author	"Giuseppe Raimondi, autore del testo manoscritto ""Valigia delle Indie : (da fare) : appunti, argomenti. Maggio 1956, giugno"""	"Giuseppe Raimondi, author of the manuscript text ""Valigia delle Indie : (da fare) : appunti, argomenti. Maggio 1956, giugno"""	https://w3id.org/ficlitdl/giuseppe-raimondi-fonds/a/notebooks/1/1956/rdq44/text	http://purl.org/spar/pro/author
https://w3id.org/ficlitdl/giuseppe-raimondi-fonds/a/notebooks/1/1970/rdq259/author	https://w3id.org/ficlitdl/giuseppe-raimondi-fonds/a/notebooks/1/1970/rdq259/author	"Giuseppe Raimondi, autore del testo manoscritto ""Una notte alla fattoria : racconto. 26.12.969 ; La novella del Grasso Legnaiuolo. 5.1.1970"""	"Giuseppe Raimondi, author of the manuscript text ""Una notte alla fattoria : racconto. 26.12.969 ; La novella del Grasso Legnaiuolo. 5.1.1970"""	https://w3id.org/ficlitdl/giuseppe-raimondi-fonds/a/notebooks/1/1970/rdq259/text	http://purl.org/spar/pro/author
https://w3id.org/ficlitdl/giuseppe-raimondi-fonds/a/notebooks/1/1972/rdq286/author	https://w3id.org/ficlitdl/giuseppe-raimondi-fonds/a/notebooks/1/1972/rdq286/author	"Giuseppe Raimondi, autore del testo manoscritto ""La bocca di dama. 4 sett. 972 ; Matteo il bottaio"""	"Giuseppe Raimondi, author of the manuscript text ""La bocca di dama. 4 sett. 972 ; Matteo il bottaio"""	https://w3id.org/ficlitdl/giuseppe-raimondi-fonds/a/notebooks/1/1972/rdq286/text	http://purl.org/spar/pro/author
