E42Identifier_id	permalink	type	label_it	label_en
https://w3id.org/ficlitdl/giuseppe-raimondi-fonds/a/notebooks/1/1965/rdq203/shelfmark	https://w3id.org/ficlitdl/giuseppe-raimondi-fonds/a/notebooks/1/1965/rdq203/shelfmark	https://w3id.org/ficlitdl/identifier-type/shelfmark	Collocazione FR.A QUADERNI.1 1965 2	Shelfmark FR.A QUADERNI.1 1965 2
https://w3id.org/ficlitdl/giuseppe-raimondi-fonds/a/notebooks/1/1956/rdq48/shelfmark	https://w3id.org/ficlitdl/giuseppe-raimondi-fonds/a/notebooks/1/1956/rdq48/shelfmark	https://w3id.org/ficlitdl/identifier-type/shelfmark	Collocazione FR.A QUADERNI.1 1956 16	Shelfmark FR.A QUADERNI.1 1956 16
https://w3id.org/ficlitdl/giuseppe-raimondi-fonds/a/notebooks/1/1963/rdq186/shelfmark	https://w3id.org/ficlitdl/giuseppe-raimondi-fonds/a/notebooks/1/1963/rdq186/shelfmark	https://w3id.org/ficlitdl/identifier-type/shelfmark	Collocazione FR.A QUADERNI.1 1963 17	Shelfmark FR.A QUADERNI.1 1963 17
https://w3id.org/ficlitdl/giuseppe-raimondi-fonds/a/notebooks/1/1963/rdq181/shelfmark	https://w3id.org/ficlitdl/giuseppe-raimondi-fonds/a/notebooks/1/1963/rdq181/shelfmark	https://w3id.org/ficlitdl/identifier-type/shelfmark	Collocazione FR.A QUADERNI.1 1963 13	Shelfmark FR.A QUADERNI.1 1963 13
https://w3id.org/ficlitdl/giuseppe-raimondi-fonds/a/notebooks/1/1973/rdq292/shelfmark	https://w3id.org/ficlitdl/giuseppe-raimondi-fonds/a/notebooks/1/1973/rdq292/shelfmark	https://w3id.org/ficlitdl/identifier-type/shelfmark	Collocazione FR.A QUADERNI.1 1973 [06] 	Shelfmark FR.A QUADERNI.1 1973 [06] 
https://w3id.org/ficlitdl/giuseppe-raimondi-fonds/a/notebooks/1/1958/rdq84/shelfmark	https://w3id.org/ficlitdl/giuseppe-raimondi-fonds/a/notebooks/1/1958/rdq84/shelfmark	https://w3id.org/ficlitdl/identifier-type/shelfmark	Collocazione FR.A QUADERNI.1 1958 15	Shelfmark FR.A QUADERNI.1 1958 15
https://w3id.org/ficlitdl/giuseppe-raimondi-fonds/a/notebooks/1/1956/rdq42/inventory-number	https://w3id.org/ficlitdl/giuseppe-raimondi-fonds/a/notebooks/1/1956/rdq42/inventory-number	https://w3id.org/ficlitdl/identifier-type/inventory-number	Inventario RDq 42	Inventory number RDq 42
https://w3id.org/ficlitdl/giuseppe-raimondi-fonds/a/notebooks/1/1975/rdq299/inventory-number	https://w3id.org/ficlitdl/giuseppe-raimondi-fonds/a/notebooks/1/1975/rdq299/inventory-number	https://w3id.org/ficlitdl/identifier-type/inventory-number	Inventario RDq 299	Inventory number RDq 299
https://w3id.org/ficlitdl/giuseppe-raimondi-fonds/a/notebooks/1/1963/rdq179/inventory-number	https://w3id.org/ficlitdl/giuseppe-raimondi-fonds/a/notebooks/1/1963/rdq179/inventory-number	https://w3id.org/ficlitdl/identifier-type/inventory-number	Inventario RDq 179	Inventory number RDq 179
https://w3id.org/ficlitdl/giuseppe-raimondi-fonds/a/notebooks/1/1958/rdq91/inventory-number	https://w3id.org/ficlitdl/giuseppe-raimondi-fonds/a/notebooks/1/1958/rdq91/inventory-number	https://w3id.org/ficlitdl/identifier-type/inventory-number	Inventario RDq 91	Inventory number RDq 91
