country_ar	country_en	lat	lon
ألمانيا	Germany	51.196755	9.62743
أمريكا	United States of America	39.715956	-96.999668
إنجلترا	United Kingdom	52.418788	-1.247349
إيران	Iran	31.931398	55.245317
الأردن	Jordan	30.802278	36.391378
الإمارات	United Arab Emirates	23.47438	54.576046
البحرين	Bahrain	26.020458	50.551925
الجزائر	Algeria	27.89689	3.379277
السعودية	Saudi Arabia	23.806678	44.700847
العراق	Iraq	32.765286	43.614805
الكويت	Kuwait	29.422226	47.330015
المغرب	Morocco	31.649504	-7.189711
الهند	India	22.412321	79.132924
اليمن	Yemen	15.328226	45.874382
تونس	Tunisia	33.687264	9.007775
سوريا	Syria	35.008917	38.290599
عمان	Oman	22.113184	57.345652
فلسطين	Palestine	32.052183	35.252175
قطر	Qatar	25.199602	51.160939
لبنان	Lebanon	34.095838	35.95658
ليبيا	Libya	26.666955	18.030248
مصر	Egypt	26.42231	29.227089
السودان	Sudan		
